School Name,Address,GSO Rating,Academic Progress,Test Scores,Equity Scores,School Types,Star Rating,Review Link,School Link,City
Mayall Street Elementary School,"16701 Mayall St., Los Angeles, CA, 91343","9
",9,9,10,"['Elementary school', 'Public district']",3.6,https://www.greatschools.org/california/los-angeles/2230-Mayall-Street-Elementary-School/reviews/,https://www.greatschools.org/california/north-hills/2230-Mayall-Street-Elementary-School/,Los Angeles
Melrose Elementary School,"731 North Detroit Street, Los Angeles, CA, 90046","9
",8,10,8,"['Elementary school', 'Public district']",4.5,https://www.greatschools.org/california/los-angeles/2234-Melrose-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2234-Melrose-Elementary-School/,Los Angeles
Overland Avenue Elementary School,"10650 Ashby Avenue, Los Angeles, CA, 90064","9
",7,10,10,"['Elementary school', 'Public district']",4,https://www.greatschools.org/california/los-angeles/2303-Overland-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2303-Overland-Avenue-Elementary-School/,Los Angeles
Richland Avenue Elementary School,"11562 Richland Avenue, Los Angeles, CA, 90064","9
",8,10,10,"['Elementary school', 'Public district']",4.5,https://www.greatschools.org/california/los-angeles/2345-Richland-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2345-Richland-Avenue-Elementary-School/,Los Angeles
Third Street Elementary School,"201 South June Street, Los Angeles, CA, 90004","9
",8,10,10,"['Elementary school', 'Public district']",4.2,https://www.greatschools.org/california/los-angeles/2422-Third-Street-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2422-Third-Street-Elementary-School/,Los Angeles
Vena Avenue Elementary School,"9377 Vena Ave., Los Angeles, CA, 91331","9
",8,8,10,"['Elementary school', 'Public district']",4.4,https://www.greatschools.org/california/los-angeles/2453-Vena-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/arleta/2453-Vena-Avenue-Elementary-School/,Los Angeles
Welby Way Elementary Charter School,"23456 Welby Way, Los Angeles, CA, 91307","9
",7,10,10,"['Elementary school', 'Public charter']",3.4,https://www.greatschools.org/california/los-angeles/2480-Welby-Way-Elementary-Charter-School/reviews/,https://www.greatschools.org/california/west-hills/2480-Welby-Way-Elementary-Charter-School/,Los Angeles
Westwood Charter Elementary School,"2050 Selby Avenue, Los Angeles, CA, 90025","9
",9,10,9,"['Elementary school', 'Public charter']",4,https://www.greatschools.org/california/los-angeles/2485-Westwood-Charter-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2485-Westwood-Charter-Elementary-School/,Los Angeles
Wonderland Avenue Elementary School,"8510 Wonderland Avenue, Los Angeles, CA, 90046","9
",7,10,10,"['Elementary school', 'Public district']",4.4,https://www.greatschools.org/california/los-angeles/2498-Wonderland-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2498-Wonderland-Avenue-Elementary-School/,Los Angeles
The Academy for Enriched Sciences,"17551 Miranda St., Los Angeles, CA, 91316","9
",7,10,10,"['Elementary school', 'Public district']",4.8,https://www.greatschools.org/california/los-angeles/25715-The-Academy-For-Enriched-Sciences/reviews/,https://www.greatschools.org/california/encino/25715-The-Academy-For-Enriched-Sciences/,Los Angeles
Calabash Charter Academy,"23055 Eugene St., Los Angeles, CA, 91364","8
",8,9,8,"['Elementary school', 'Public charter']",4.6,https://www.greatschools.org/california/los-angeles/1965-Calabash-Charter-Academy/reviews/,https://www.greatschools.org/california/woodland-hills/1965-Calabash-Charter-Academy/,Los Angeles
Canfield Avenue Elementary School,"9233 Airdrome Street, Los Angeles, CA, 90035","8
",7,9,7,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/1969-Canfield-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1969-Canfield-Avenue-Elementary-School/,Los Angeles
Castle Heights Elementary School,"9755 Cattaraugus Avenue, Los Angeles, CA, 90034","8
",7,10,8,"['Elementary school', 'Public district']",4.7,https://www.greatschools.org/california/los-angeles/1984-Castle-Heights-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1984-Castle-Heights-Elementary-School/,Los Angeles
Castlebay Lane Charter School,"19010 Castlebay Ln., Los Angeles, CA, 91326","8
",6,9,9,"['Elementary school', 'Public charter']",4.3,https://www.greatschools.org/california/los-angeles/1985-Castlebay-Lane-Charter-School/reviews/,https://www.greatschools.org/california/porter-ranch/1985-Castlebay-Lane-Charter-School/,Los Angeles
Darby Avenue Charter School,"10818 Darby Ave., Los Angeles, CA, 91326","8
",6,9,9,"['Elementary school', 'Public charter']",3.8,https://www.greatschools.org/california/los-angeles/2023-Darby-Avenue-Charter-School/reviews/,https://www.greatschools.org/california/northridge/2023-Darby-Avenue-Charter-School/,Los Angeles
Delevan Drive Elementary School,"4168 West Avenue 42, Los Angeles, CA, 90065","8
",7,9,9,"['Elementary school', 'Public district']",4.5,https://www.greatschools.org/california/los-angeles/2028-Delevan-Drive-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2028-Delevan-Drive-Elementary-School/,Los Angeles
Hancock Park Elementary School,"408 South Fairfax Avenue, Los Angeles, CA, 90036","8
",7,9,7,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/2130-Hancock-Park-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2130-Hancock-Park-Elementary-School/,Los Angeles
Haskell Elementary Sci Tech Engr Arts and Math (STEAM) Magnet,"15850 Tulsa St., Los Angeles, CA, 91344","8
",7,8,8,"['Elementary school', 'Public district']",4.5,https://www.greatschools.org/california/los-angeles/2136-Haskell-Elementary-Sci-Tech-Engr-Arts-And-Math-STEAM-Magnet/reviews/,https://www.greatschools.org/california/granada-hills/2136-Haskell-Elementary-School/,Los Angeles
Ivanhoe Elementary School,"2828 Herkimer Street, Los Angeles, CA, 90039","8
",7,10,6,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/2163-Ivanhoe-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2163-Ivanhoe-Elementary-School/,Los Angeles
Justice Street Elementary,"23350 Just St., Los Angeles, CA, 91304","8
",6,9,10,"['Elementary school', 'Public charter']",3.7,https://www.greatschools.org/california/los-angeles/2168-Justice-Street-Elementary/reviews/,https://www.greatschools.org/california/west-hills/2168-Justice-Street-Elementary/,Los Angeles
Lockhurst Drive Charter Elementary,"6170 Lockhurst Dr., Los Angeles, CA, 91367","8
",6,9,9,"['Elementary school', 'Public charter']",4.3,https://www.greatschools.org/california/los-angeles/2200-Lockhurst-Drive-Charter-Elementary/reviews/,https://www.greatschools.org/california/woodland-hills/2200-Lockhurst-Drive-Charter-Elementary/,Los Angeles
Mar Vista Elementary School,"3330 Granville Avenue, Los Angeles, CA, 90066","8
",7,10,7,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/2223-Mar-Vista-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2223-Mar-Vista-Elementary-School/,Los Angeles
Mt. Washington Elementary School,"3981 San Rafael Avenue, Los Angeles, CA, 90065","8
",7,10,8,"['Elementary school', 'Public district']",4.1,https://www.greatschools.org/california/los-angeles/2259-Mt.-Washington-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2259-Mt.-Washington-Elementary-School/,Los Angeles
Palisades Charter Elementary School,"800 Via de La Paz, Los Angeles, CA, 90272","8
",7,10,6,"['Elementary school', 'Public charter']",4.7,https://www.greatschools.org/california/los-angeles/2306-Palisades-Charter-Elementary-School/reviews/,https://www.greatschools.org/california/pacific-palisades/2306-Palisades-Charter-Elementary-School/,Los Angeles
Roscomare Road Elementary School,"2425 Roscomare Road, Los Angeles, CA, 90077","8
",7,10,N/A,"['Elementary school', 'Public district']",4.2,https://www.greatschools.org/california/los-angeles/2354-Roscomare-Road-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2354-Roscomare-Road-Elementary-School/,Los Angeles
Thirty-Second Street USC Performing Arts,"822 West 32nd Street, Los Angeles, CA, 90007","8
",8,7,7,"['Elementary school', 'Middle school', 'High school', 'Public district']",2.6,https://www.greatschools.org/california/los-angeles/2423-Thirty-Second-Street-USC-Performing-Arts/reviews/,https://www.greatschools.org/california/los-angeles/2423-Thirty-Second-Street-Usc-Performing-Arts/,Los Angeles
Topeka Charter School For Advanced Studies,"9815 Topeka Dr., Los Angeles, CA, 91324","8
",7,9,8,"['Elementary school', 'Public charter']",4,https://www.greatschools.org/california/los-angeles/2428-Topeka-Charter-School-For-Advanced-Studies/reviews/,https://www.greatschools.org/california/northridge/2428-Topeka-Charter-School-For-Advanced-Studies/,Los Angeles
Van Gogh Charter School,"17160 Van Gogh St., Los Angeles, CA, 91344","8
",6,9,10,"['Elementary school', 'Public charter']",4.3,https://www.greatschools.org/california/los-angeles/2445-Van-Gogh-Charter-School/reviews/,https://www.greatschools.org/california/granada-hills/2445-Van-Gogh-Charter-School/,Los Angeles
Vintage Math/Science/Technology Magnet School,"15848 Stare St., Los Angeles, CA, 91343","8
",6,9,9,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/2463-Vintage-Math-Science-Technology-Magnet-School/reviews/,https://www.greatschools.org/california/north-hills/2463-Vintage-Math-Science-Technology-Magnet-School/,Los Angeles
Warner Avenue Elementary School,"615 Holmby Avenue, Los Angeles, CA, 90024","8
",7,10,8,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/2474-Warner-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2474-Warner-Avenue-Elementary-School/,Los Angeles
KIPP Raices Academy,"668 Atlantic Blvd., Los Angeles, CA, 90022","8
",10,7,7,"['Elementary school', 'Public charter']",4.3,https://www.greatschools.org/california/los-angeles/24775-KIPP-Raices-Academy/reviews/,https://www.greatschools.org/california/los-angeles/24775-KIPP-Raices-Academy/,Los Angeles
Wilbur Charter For Enriched Academics,"5213 Crebs Ave., Los Angeles, CA, 91356","8
",8,9,8,"['Elementary school', 'Public charter']",4.5,https://www.greatschools.org/california/los-angeles/2490-Wilbur-Charter-For-Enriched-Academics/reviews/,https://www.greatschools.org/california/tarzana/2490-Wilbur-Charter-For-Enriched-Academics/,Los Angeles
Valley Charter Elementary School,"16514 Nordhoff St., Los Angeles, CA, 91343","8
",8,8,9,"['Elementary school', 'Public charter']",4.4,https://www.greatschools.org/california/los-angeles/25397-Valley-Charter-Elementary-School/reviews/,https://www.greatschools.org/california/north-hills/25397-Valley-Charter-Elementary-School/,Los Angeles
Sherman Oaks Center For Enriched Studies,"18605 Erwin St., Los Angeles, CA, 91335","8
",7,9,8,"['Elementary school', 'Middle school', 'High school', 'Public district']",3.3,https://www.greatschools.org/california/los-angeles/10957-Sherman-Oaks-Center-For-Enriched-Studies/reviews/,https://www.greatschools.org/california/reseda/10957-Sherman-Oaks-Center-For-Enriched-Studies/,Los Angeles
KIPP Los Angeles College Preparatory School,"2810 Whittier Boulevard, Los Angeles, CA, 90023","8
",6,8,10,"['Elementary school', 'Middle school', 'Public charter']",4.2,N/A,https://www.greatschools.org/california/los-angeles/12371-KIPP-Los-Angeles-College-Preparatory-School/,Los Angeles
Renaissance Arts Academy,"2558 North San Fernando Road, Los Angeles, CA, 90065","8
",7,10,10,"['Elementary school', 'Middle school', 'High school', 'Public charter']",4,https://www.greatschools.org/california/los-angeles/12397-Renaissance-Arts-Academy/reviews/,https://www.greatschools.org/california/los-angeles/12397-Renaissance-Arts-Academy/,Los Angeles
Puc Milagro Charter School,"1855 North Main Street, Los Angeles, CA, 90031","8
",7,10,9,"['Elementary school', 'Public charter']",5,N/A,https://www.greatschools.org/california/los-angeles/14040-Puc-Milagro-Charter-School/,Los Angeles
Wilshire Park Elementary School,"4063 Ingraham St., Los Angeles, CA, 90005","8
",10,7,6,"['Elementary school', 'Public district']",3.9,https://www.greatschools.org/california/los-angeles/16961-Wilshire-Park-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/16961-Wilshire-Park-Elementary-School/,Los Angeles
Anahuacalmecac International University Preparatory Of North America,"4736 Huntington Drive South, Los Angeles, CA, 90032","8
",7,6,N/A,"['Elementary school', 'Middle school', 'High school', 'Public charter']",3.7,N/A,https://www.greatschools.org/california/los-angeles/32108-Anahuacalmecac-International-University-Preparatory-Of-North-America/,Los Angeles
Albion Street Elementary School,"322 South Avenue 18, Los Angeles, CA, 90031","7
",10,5,4,"['Elementary school', 'Public district']",N/A,N/A,https://www.greatschools.org/california/los-angeles/1891-Albion-Street-Elementary-School/,Los Angeles
Allesandro Elementary School,"2210 Riverside Drive, Los Angeles, CA, 90039","7
",7,8,6,"['Elementary school', 'Public district']",4.4,https://www.greatschools.org/california/los-angeles/1895-Allesandro-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1895-Allesandro-Elementary-School/,Los Angeles
Apperson Street Elementary School,"10233 Woodward Ave., Los Angeles, CA, 91040","7
",8,8,5,"['Elementary school', 'Public district']",3.7,https://www.greatschools.org/california/los-angeles/1906-Apperson-Street-Elementary-School/reviews/,https://www.greatschools.org/california/sunland/1906-Apperson-Street-Elementary-School/,Los Angeles
Brainard Elementary School,"11407 Brainard Ave., Los Angeles, CA, 91342","7
",5,8,8,"['Elementary school', 'Public district']",2.8,https://www.greatschools.org/california/los-angeles/1941-Brainard-Elementary-School/reviews/,https://www.greatschools.org/california/lake-view-terrace/1941-Brainard-Elementary-School/,Los Angeles
Birdielee V. Bright Elementary School,"1771 West 36th Street, Los Angeles, CA, 90018","7
",9,6,5,"['Elementary school', 'Public district']",3.9,https://www.greatschools.org/california/los-angeles/1946-Birdielee-V.-Bright-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1946-Birdielee-V.-Bright-Elementary-School/,Los Angeles
Cantara Street Elementary School,"17950 Cantara St., Los Angeles, CA, 91335","7
",9,6,5,"['Elementary school', 'Public district']",4,https://www.greatschools.org/california/los-angeles/1972-Cantara-Street-Elementary-School/reviews/,https://www.greatschools.org/california/reseda/1972-Cantara-Street-Elementary-School/,Los Angeles
Canterbury Avenue Elementary School,"13670 Montague St., Los Angeles, CA, 91331","7
",8,7,6,"['Elementary school', 'Public district']",4.3,N/A,https://www.greatschools.org/california/arleta/1973-Canterbury-Avenue-Elementary-School/,Los Angeles
Capistrano Avenue Elementary School,"8118 Capistrano Ave., Los Angeles, CA, 91304","7
",7,7,7,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/1975-Capistrano-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/west-hills/1975-Capistrano-Avenue-Elementary-School/,Los Angeles
Castelar Street Elementary School,"840 Yale Street, Los Angeles, CA, 90012","7
",6,7,7,"['Elementary school', 'Middle school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/1983-Castelar-Street-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1983-Castelar-Street-Elementary-School/,Los Angeles
Chandler Elementary,"14030 Weddington St., Los Angeles, CA, 91401","7
",6,9,7,"['Elementary school', 'Public district']",4.2,https://www.greatschools.org/california/los-angeles/1989-Chandler-Elementary/reviews/,https://www.greatschools.org/california/sherman-oaks/1989-Chandler-Elementary/,Los Angeles
Charnock Road Elementary School,"11133 Charnock Road, Los Angeles, CA, 90034","7
",8,7,7,"['Elementary school', 'Public district']",4.1,https://www.greatschools.org/california/los-angeles/1991-Charnock-Road-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1991-Charnock-Road-Elementary-School/,Los Angeles
Chatsworth Park Elementary School,"22005 Devonshire St., Los Angeles, CA, 91311","7
",6,8,8,"['Elementary school', 'Public district']",4.2,https://www.greatschools.org/california/los-angeles/1994-Chatsworth-Park-Elementary-School/reviews/,https://www.greatschools.org/california/chatsworth/1994-Chatsworth-Park-Elementary-School/,Los Angeles
City Terrace Elementary School,"4350 City Terrace Drive, Los Angeles, CA, 90063","7
",7,7,7,"['Elementary school', 'Public district']",4.1,https://www.greatschools.org/california/los-angeles/1999-City-Terrace-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1999-City-Terrace-Elementary-School/,Los Angeles
Cowan Avenue Elementary School,"7615 Cowan Avenue, Los Angeles, CA, 90045","7
",6,7,7,"['Elementary school', 'Public district']",3.8,https://www.greatschools.org/california/los-angeles/2015-Cowan-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2015-Cowan-Avenue-Elementary-School/,Los Angeles
Dahlia Heights Elementary School,"5063 Floristan Avenue, Los Angeles, CA, 90041","7
",7,10,5,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/2020-Dahlia-Heights-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2020-Dahlia-Heights-Elementary-School/,Los Angeles
Dayton Heights Elementary School,"607 N. W.moreland Ave., Los Angeles, CA, 90004","7
",8,7,7,"['Elementary school', 'Public district']",3.4,https://www.greatschools.org/california/los-angeles/2024-Dayton-Heights-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2024-Dayton-Heights-Elementary-School/,Los Angeles
Dixie Canyon Community Charter School,"4220 Dixie Canyon Ave., Los Angeles, CA, 91423","7
",6,9,6,"['Elementary school', 'Public charter']",4,https://www.greatschools.org/california/los-angeles/2031-Dixie-Canyon-Community-Charter-School/reviews/,https://www.greatschools.org/california/sherman-oaks/2031-Dixie-Canyon-Community-Charter-School/,Los Angeles
Dorris Place Elementary School,"2225 Dorris Place, Los Angeles, CA, 90031","7
",7,7,6,"['Elementary school', 'Public district']",3.7,https://www.greatschools.org/california/los-angeles/2035-Dorris-Place-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2035-Dorris-Place-Elementary-School/,Los Angeles
Eagle Rock Elementary and Magnet Center,"2057 Fair Park Avenue, Los Angeles, CA, 90041","7
",6,9,7,"['Elementary school', 'Public district']",3.7,https://www.greatschools.org/california/los-angeles/2042-Eagle-Rock-Elementary-And-Magnet-Center/reviews/,https://www.greatschools.org/california/los-angeles/2042-Eagle-Rock-Elementary-And-Magnet-Center/,Los Angeles
Elysian Heights ES Arts Magnet,"1562 Baxter Street, Los Angeles, CA, 90026","7
",9,7,4,"['Elementary school', 'Public district']",4.9,https://www.greatschools.org/california/los-angeles/2056-Elysian-Heights-ES-Arts-Magnet-/reviews/,https://www.greatschools.org/california/los-angeles/2056-Elysian-Heights-ES-Arts-Magnet-/,Los Angeles
Encino Charter Elementary School,"16941 Addison St., Los Angeles, CA, 91316","7
",6,9,8,"['Elementary school', 'Public charter']",4.6,https://www.greatschools.org/california/los-angeles/2059-Encino-Charter-Elementary-School/reviews/,https://www.greatschools.org/california/encino/2059-Encino-Charter-Elementary-School/,Los Angeles
Franklin Avenue Elementary School,"1910 North Commonwealth Avenue, Los Angeles, CA, 90027","7
",6,9,6,"['Elementary school', 'Public district']",4.1,https://www.greatschools.org/california/los-angeles/2088-Franklin-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2088-Franklin-Avenue-Elementary-School/,Los Angeles
Gault Street Elementary School,"17000 Gault St., Los Angeles, CA, 91406","7
",9,6,6,"['Elementary school', 'Public district']",4.1,https://www.greatschools.org/california/los-angeles/2102-Gault-Street-Elementary-School/reviews/,https://www.greatschools.org/california/lake-balboa/2102-Gault-Street-Elementary-School/,Los Angeles
Haynes Charter for Enriched Studies,"6624 Lockhurst Dr., Los Angeles, CA, 91307","7
",6,9,7,"['Elementary school', 'Public charter']",4,https://www.greatschools.org/california/los-angeles/2138-Haynes-Charter-For-Enriched-Studies/reviews/,https://www.greatschools.org/california/west-hills/2138-Haynes-Charter-For-Enriched-Studies/,Los Angeles
Hoover Street Elementary School,"2726 Francis Avenue, Los Angeles, CA, 90005","7
",6,8,8,"['Elementary school', 'Public district']",3.8,N/A,https://www.greatschools.org/california/los-angeles/2152-Hoover-Street-Elementary-School/,Los Angeles
Kentwood Elementary School,"8401 Emerson Avenue, Los Angeles, CA, 90045","7
",6,9,8,"['Elementary school', 'Public district']",5,https://www.greatschools.org/california/los-angeles/2172-Kentwood-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2172-Kentwood-Elementary-School/,Los Angeles
Kester Avenue Elementary School,"5353 Kester Ave., Los Angeles, CA, 91411","7
",6,9,8,"['Elementary school', 'Public district']",4,https://www.greatschools.org/california/los-angeles/2173-Kester-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/van-nuys/2173-Kester-Avenue-Elementary-School/,Los Angeles
Knollwood Preparatory Academy,"11822 Gerald Ave., Los Angeles, CA, 91344","7
",7,7,7,"['Elementary school', 'Public charter']",3.6,https://www.greatschools.org/california/los-angeles/2178-Knollwood-Preparatory-Academy/reviews/,https://www.greatschools.org/california/granada-hills/2178-Knollwood-Preparatory-Academy/,Los Angeles
Lorne Street Elementary School,"17440 Lorne St., Los Angeles, CA, 91325","7
",8,7,7,"['Elementary school', 'Public district']",3.9,https://www.greatschools.org/california/los-angeles/2208-Lorne-Street-Elementary-School/reviews/,https://www.greatschools.org/california/northridge/2208-Lorne-Street-Elementary-School/,Los Angeles
Los Feliz STEMM Magnet,"1740 North New Hampshire Avenue, Los Angeles, CA, 90027","7
",6,7,8,"['Elementary school', 'Public district']",4.6,https://www.greatschools.org/california/los-angeles/2211-Los-Feliz-STEMM-Magnet/reviews/,https://www.greatschools.org/california/los-angeles/2211-Los-Feliz-STEMM-Magnet/,Los Angeles
Marquez Charter School,"16821 Marquez Ave., Los Angeles, CA, 90272","7
",7,10,5,"['Elementary school', 'Public charter']",4.1,https://www.greatschools.org/california/los-angeles/2227-Marquez-Charter-School/reviews/,https://www.greatschools.org/california/pacific-palisades/2227-Marquez-Charter-School/,Los Angeles
Marvin Elementary School,"2411 South Marvin Avenue, Los Angeles, CA, 90016","7
",10,6,5,"['Elementary school', 'Public district']",4,https://www.greatschools.org/california/los-angeles/2229-Marvin-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2229-Marvin-Elementary-School/,Los Angeles
Micheltorena Street Elementary School,"1511 Micheltorena Street, Los Angeles, CA, 90026","7
",9,8,4,"['Elementary school', 'Public district']",4.2,https://www.greatschools.org/california/los-angeles/2239-Micheltorena-Street-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2239-Micheltorena-Street-Elementary-School/,Los Angeles
John B. Monlux Elementary School,"6051 Bellaire Ave., Los Angeles, CA, 91606","7
",6,7,7,"['Elementary school', 'Public district']",4.1,https://www.greatschools.org/california/los-angeles/2248-John-B.-Monlux-Elementary-School/reviews/,https://www.greatschools.org/california/north-hollywood/2248-John-B.-Monlux-Elementary-School/,Los Angeles
Multnomah Street Elementary School,"2101 North Indiana Avenue, Los Angeles, CA, 90032","7
",7,7,6,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/2262-Multnomah-Street-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2262-Multnomah-Street-Elementary-School/,Los Angeles
Open Charter Magnet School,"5540 West 77th Street, Los Angeles, CA, 90045","7
",6,9,7,"['Elementary school', 'Public charter']",4.4,https://www.greatschools.org/california/los-angeles/2301-Open-Charter-Magnet-School/reviews/,https://www.greatschools.org/california/los-angeles/2301-Open-Charter-Magnet-School/,Los Angeles
Pomelo Community Charter School,"7633 March Ave., Los Angeles, CA, 91304","7
",6,8,7,"['Elementary school', 'Public charter']",4,https://www.greatschools.org/california/los-angeles/2330-Pomelo-Community-Charter-School/reviews/,https://www.greatschools.org/california/west-hills/2330-Pomelo-Community-Charter-School/,Los Angeles
South Shores/Csudh Visual And Performing Arts,"2060 W. 35th St., Los Angeles, CA, 90732","7
",6,7,7,"['Elementary school', 'Public district']",5,https://www.greatschools.org/california/los-angeles/2362-South-Shores-Csudh-Visual-And-Performing-Arts/reviews/,https://www.greatschools.org/california/san-pedro/2362-South-Shores-Csudh-Visual-And-Performing-Arts/,Los Angeles
San Pascual Elementary Science Technology Engineering Arts And Mathematics (STEAM) Magnet,"815 San Pascual Avenue, Los Angeles, CA, 90042","7
",9,7,5,"['Elementary school', 'Public district']",4.7,https://www.greatschools.org/california/los-angeles/2371-San-Pascual-Elementary-Science-Technology-Engineering-Arts-And-Mathematics-STEAM-Magnet-/reviews/,https://www.greatschools.org/california/los-angeles/2371-San-Pascual-Elementary-Science-Technology-Engineering-Arts-And-Mathematics-STEAM-Magnet-/,Los Angeles
